RestaurantID,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
yy0E-rhiKzN2ASfDhHVsJg,El Castillo De Jagua 2,american,3,82,521 Grand St,10002,40.7143299,-73.98185,False,05/03/2020 11:52:31
vLphuclD-vQCHG97oftAcA,Welcome to the Johnson's,american,3.5,345,123 Rivington St,10002,40.71967,-73.9873,False,05/03/2020 11:52:31
f6HpgXns3Fmobjy4nlL7BQ,Chloe81,american,2.5,94,81 Ludlow St,10002,40.7180899,-73.98949,False,05/03/2020 11:52:31
JCpgDuXd8_rV3GwgiO-rFQ,Farmhouse Restaurant,american,3.5,116,81 Ludlow St,10002,40.7180899,-73.98949,False,05/03/2020 11:52:31
3BsALCViXEKy7mpbbJPwmQ,Food U Desire,american,2.5,8,129-135 Ridge St,10002,40.71958,-73.983,False,05/03/2020 11:52:31
hRZyaQ80R9s9ztEBDJqiuw,Essex,american,3.5,1992,124 Rivington St,10002,40.7196975497428,-73.9873982202378,False,05/03/2020 11:52:31
mqzRBbxys-OCzXK5QCG33Q,La Caverna,american,3,524,122 Rivington St,10002,40.7198,-73.98714,False,05/03/2020 11:52:31
0vdgqmIt6e0suBu2g-M1UQ,The Ten Bells,american,3.5,439,247 Broome St,10002,40.717801,-73.98985,False,05/03/2020 11:52:31
IFcGHhG3xflTyISZtMFe2Q,Wolly Rolls,american,5,1,87 Ludlow St,10002,40.718342,-73.98951,False,05/03/2020 11:52:31
-T_5QJwgPMxfXTeOmpImsA,Char Sue,american,4.5,180,119 Essex St,10002,40.7196000924977,-73.9879152551293,False,05/03/2020 11:52:31
4j_4tNy7pzYsEkvGTyRCzA,Dinner on Ludlow,american,3,150,95 Delancey St,10002,40.7186583890008,-73.9892859285346,False,05/03/2020 11:52:31
HXqpZ5Sq7eeDoxAeZI3nTw,The DL,american,2.5,587,95 Delancey St,10002,40.7185899,-73.9893704,False,05/03/2020 11:52:31
AuPyUM8XQAtSbiSsCT4x_A,The Whiskey Ward,american,4,306,121 Essex St,10002,40.71966,-73.98791,False,05/03/2020 11:52:31
cIL9CA0bJkxU9oVkIHsbNQ,Beverly's,american,3.5,38,21 Essex St,10002,40.715394,-73.990103,False,05/03/2020 11:52:31
myLwn2JeeELOjrKNNT62UQ,Devon,american,4,29,252 Broome St,10002,40.71809,-73.98986,False,05/03/2020 11:52:31
POkV0nmk7LAhB7-BjRNUFw,L'estudio,american,4,34,61 Hester St,10002,40.71589,-73.99031,False,05/03/2020 11:52:31
wSlGpwSIecbqy1KRSO_YVg,El Castillo De Jagua,american,3.5,244,113 Rivington St,10002,40.71977,-73.98787,False,05/03/2020 11:52:31
qOomR3AwClOGpV1HdqOTFg,Les Enfants de Boheme,american,4.5,240,177 Henry St,10002,40.7136187,-73.9888503,False,05/03/2020 11:52:31
RubAy9zHKaxpJG5rLucRtg,Top Hops,american,4.5,323,94 Orchard St,10002,40.71838,-73.98984,False,05/03/2020 11:52:31
PdCFnnSTjb7ZCt_cug-Eig,Mehanata,american,3.5,392,113 Ludlow St,10002,40.71949,-73.98892,False,05/03/2020 11:52:31
XghOzJn16M-nvaKMOdC5og,Verlaine,american,4,1425,110 Rivington St,10002,40.720079,-73.987785,False,05/03/2020 11:52:31
H_4w5VM_DKEwsGs0SCNtpw,CV,american,2.5,26,105 Rivington St,10002,40.71982,-73.98821,False,05/03/2020 11:52:31
zi_TJRxi0WzADbbI6Jcz3A,Koneko,american,4.5,277,26 Clinton St,10002,40.72044,-73.98412,False,05/03/2020 11:52:31
RYKGs45OjF-vlb2Ds2Jb_g,Izakaya Juraku,american,4.5,98,121 Ludlow St,10002,40.7196796287355,-73.9887088537216,False,05/03/2020 11:52:31
BnEfZl0m9JEbd2DF8quplQ,K-one,american,3.5,384,97 Bowery,10002,40.71733,-73.99502,False,05/03/2020 11:52:55
dVAI5zh29psdbHp9wGXwVQ,M Star Cafe,american,3.5,292,19 Division St,10002,40.713928,-73.99652,False,05/03/2020 11:52:55
teAop2XPjQlhDgjgxMLL0w,Two Bridge's Diner,american,4.5,27,89 Canal St,10002,40.7155326909811,-73.9935623109341,False,05/03/2020 11:52:55
s4tyQOpJwsBkYXc1mNhP-A,Harper's Bread House Inc.,american,4,41,271 Grand St,10002,40.71771,-73.99303,False,05/03/2020 11:52:55
8fn5gUBncPJifhsEKmAejQ,The Fat Radish,american,3.5,547,17 Orchard St,10002,40.715293924183,-73.9917185036817,False,05/03/2020 11:52:55
vkQSMwAf5yqDw9HfEQYgzw,The Flower Shop,american,4,122,107 Eldridge St,10002,40.71807,-73.99213,False,05/03/2020 11:52:55
Au0ln1sQbBSSUuY9kXhv-w,Home Sweet Home,american,3.5,404,131 Chrystie St,10002,40.71951,-73.99352,False,05/03/2020 11:52:55
2bTQnUWFY-0qxbPZspOgAA,Canary Club,american,3.5,11,303 Broome St,10002,40.718637,-73.992411,False,05/03/2020 11:52:55
_EBQhV-UQ7NoV66uXYH0dw,Golden Diner,american,4.5,127,123 Madison St,10002,40.71244,-73.994,False,05/03/2020 11:52:55
YKfj-CUjgb9xQ1kN_bhNLg,Forgtmenot,american,4,178,138 Division St,10002,40.714498871349,-73.9915559401866,False,05/03/2020 11:52:55
Q3xTM15H8fRH8wv9PD8weA,The Metrograph Commissary,american,4,40,7 Ludlow St,10002,40.715103,-73.991172,False,05/03/2020 11:52:55
p7AUVHJWsE9DBzO5yRR6FQ,Sunburst Espresso Bar,american,3.5,464,206 3rd Ave,10003,40.73596,-73.98546,False,05/03/2020 11:51:41
0dFmV60ALH5_gvyYka6yUQ,Gramercy Kitchen,american,3.5,73,184 3rd Ave,10003,40.73522,-73.9861,False,05/03/2020 11:51:41
HXLDYJ6Fznjn48VbE_8cow,Jack's Sliders & Sushi,american,4,325,171 3rd Ave,10003,40.734705,-73.985819,False,05/03/2020 11:51:41
zLNOCv3hmzPNO8pchYdBpw,Joe Jr. Restaurant,american,4,367,167 3rd Ave,10003,40.73468,-73.98596,False,05/03/2020 11:51:41
VNee09tB2NVGTe3g1tFylw,Pete's Tavern,american,3.5,615,129 E 18th St,10003,40.73647,-73.986698,False,05/03/2020 11:51:41
AlZYxW1hQ3S2sGbtNjo64w,Cibar,american,4,304,56 Irving Pl,10003,40.73596,-73.98696,False,05/03/2020 11:51:41
-dQexkmhlgbiKvZ94jBmjQ,Dear Irving,american,4,640,55 Irving Pl,10003,40.7360568971331,-73.9872401005554,False,05/03/2020 11:51:41
EYH4FiA2phvYg73Jjw1KSA,Friend of A Farmer,american,3.5,1248,77 Irving Pl,10003,40.73695,-73.98677,False,05/03/2020 11:51:41
J8UMXWNYrn7_D0KXZN1Hrg,Pierre Loti Union Square,american,3.5,241,53 Irving Pl,10003,40.7360683313323,-73.9873969593415,False,05/03/2020 11:51:41
2_kvHYO8YDZoepinusLpqw,The House,american,3.5,384,121 E 17th St,10003,40.73613,-73.98773,False,05/03/2020 11:51:41
jf3JRaxUYU93x8LFU-8gkA,GupShup,american,4,277,115 E18th St,10003,40.7368323318866,-73.9877132715179,False,05/03/2020 11:51:41
YO59-3IbrPXld3giYhoUUA,The Watering Hole,american,3.5,148,106 E 19th St,10003,40.7372093200684,-73.9874572753906,False,05/03/2020 11:51:41
8XHbZIKDQbXhyKIGiukVeQ,Boucherie Union Square,american,4.5,729,225 Park Ave S,10003,40.73715,-73.98789,False,05/03/2020 11:51:41
HHtImNXqsV_FOtgwVfD66Q,Friend House 2,american,2,1,225 E 14th St,10003,40.733086,-73.985977,False,05/03/2020 11:51:41
ok8VAxxZLd05RNEX88GzFg,Beauty Bar,american,3.5,537,231 E 14th St,10003,40.7329864501953,-73.985710144043,False,05/03/2020 11:51:41
kz9YaFCE1sGJ4CpLDKBIjQ,The Stand Comedy Club and Restaurant,american,4,566,116 E 16th St,10003,40.73542,-73.98835,False,05/03/2020 11:51:41
VFm8KI_no47AOHUDYYGTVA,Hawkers,american,3,233,225 E 14th St,10003,40.73298,-73.98606,False,05/03/2020 11:51:41
3NbhYebjZPjLTWZZyRuhsw,The Winslow,american,4.5,537,243 E 14th St,10003,40.7327766418457,-73.9852142333984,False,05/03/2020 11:51:41
afbl_jCNpomzJiDBdomb6g,Oceans New York,american,4.5,49,233 Park Ave S,10003,40.737408,-73.987887,False,05/03/2020 11:51:41
qkfCbxRFLENQ5ClzQfHbWQ,The Headless Horseman,american,3.5,287,119 E 15th St,10003,40.734933230333,-73.9884572146618,False,05/03/2020 11:51:41
jrXu38IeCFhHAgR8tI7exg,IHOP,american,2.5,369,235 E 14th St,10003,40.73278,-73.98557,False,05/03/2020 11:51:41
DfXh4GIeGyYGz2o3NmhorQ,Irvington,american,3.5,201,201 Park Ave S,10003,40.7366011,-73.9885554,False,05/03/2020 11:51:41
6ztuhNteBxQB334A98iP8g,Bait & Hook,american,3.5,400,231 2nd Ave,10003,40.73263,-73.985103,False,05/03/2020 11:51:41
lXGCo-K7eftxRT_6E59-Iw,Union Square Cafe,american,4,1214,101 E 19th St,10003,40.73775,-73.987874,False,05/03/2020 11:51:41
iFzwRwix6wSWYWrIDbbpiw,Farmer & The Fish- Gramercy,american,3.5,313,245 Park Ave S,10003,40.7379741,-73.9876775,False,05/03/2020 11:51:41
lNGdiIQwGOGsXAKvRMVC0w,Big Daddy's,american,3.5,1009,239 Park Ave S,10003,40.7379388,-73.9878026,False,05/03/2020 11:51:41
uby3glEc0Brt9LAoCI0WTg,L'Express,american,3.5,811,249 Park Ave S,10003,40.738162056865,-73.987646111269,False,05/03/2020 11:51:41
ubgvCM3_MvS7YCn4LJ7yCA,5 Napkin Burger,american,3.5,814,150 E 14th St,10003,40.7332438,-73.9874588,False,05/03/2020 11:51:41
xwdL7dreL8DvpqTXaPZmAg,SideBAR,american,2.5,460,118 E 15th St,10003,40.73467,-73.98859,False,05/03/2020 11:51:41
qM4DN_MM28Y94M_w0hEMlw,The Nugget Spot,american,3.5,508,230 E 14th St,10003,40.7324998427738,-73.9860487460327,False,05/03/2020 11:51:41
GQ8YF-DTUvQ-1t7bb-_CqQ,City Gourmet Cafe,american,3.5,73,238 E 14th St,10003,40.732431,-73.985823,False,05/03/2020 11:51:41
ypqK8DWM8Bcs43YveSJnNw,Manhatta,american,4.5,466,28 Liberty St,10005,40.707762,-74.008851,False,05/03/2020 11:53:08
_0WFGjXuenlBixOlbSlGeQ,Crown Shy,american,4.5,264,70 Pine St,10005,40.7063449,-74.0076944,False,05/03/2020 11:53:08
IrlANmmvYynVviRwvOqNxg,The Bailey Pub & Brasserie,american,3.5,193,52 William And Wall St,10005,40.7068041,-74.0089388,False,05/03/2020 11:53:08
-IhTjhyw-S9SD9j58mUTNA,William's Restaurant and Bar,american,2.5,3,52 William St,10005,40.70671,-74.008918,False,05/03/2020 11:53:08
_rzVYnChUVRaQb7VyuI7IQ,Dig Inn,american,3.5,294,80 Pine St,10005,40.7060753837547,-74.0071442785042,False,05/03/2020 11:53:08
_lT7hx3xNuKcUwDsbHGd3Q,The Country Cafe,american,2,26,60 Wall St,10005,40.706241,-74.008506,False,05/03/2020 11:53:08
qpD22cY8CSXLT2qujiJtqw,The Full Shilling,american,4,86,160 Pearl St,10005,40.705722,-74.007469,False,05/03/2020 11:53:08
SuN3HU1TrpDBFoqFED905g,Brooklyn Breakfast Cart,american,4,6,88 Pine St And Water St,10005,40.7056505,-74.006641,False,05/03/2020 11:53:08
c1kKAH9XMPNeaBhvnIP0FQ,Trinity Place,american,4,375,115 Broadway,10006,40.708865,-74.01117,False,05/03/2020 11:53:08
