RestaurantID,Cuisine
oderonBBmlgw-Wd_KsQ6LA,american
_nywvJGzmWJEH2FceAvRbQ,korean
AjC9dPbmEzcPePHcYxPY0w,pizza
nEEOVPjX2oqK9t8C3PSRPA,pizza
hRZyaQ80R9s9ztEBDJqiuw,american
K7u5sEQW1LcIJxjpUS1STg,indian
Dsd0W08nHAkPz9h0atxkew,pizza
Knbn0h4MA1KX5Fv3eZfK4w,american
szyoiJXuX8shNnsm8-Bffg,american
6-ShONYFIM9K8HAUOhZVlw,italian
EabbdIeb0D_8UUQ0KmoPlA,american
NMvGg6AwvEMUEjIF1z9Ghw,mexican
4FD0TAxe70nb3ngk3sXF9Q,chinese
K8Z10Tx2rwx6CcHV8FcuJg,american
cKvHZZQ_6nfigo-ju3y4Cg,italian
VfbHFAGWxShIXLCy7Zw02A,indian
__EvomQ2tE1NtkWn32WEXg,american
WSesw7dMYKmF3XHqD0K0WQ,indian
z28cRtpdfiJfzIp1vkMAwQ,korean
wdGMVLUzocmnl2tST0lheg,chinese
jjmwO_fSM4xjvt2vmX9NbQ,american
JYoCTZrJ0VRTmQFYUz_bSg,mexican
herb-gOpfjJGeiYWXb2liw,mexican
J8UMXWNYrn7_D0KXZN1Hrg,american
EmnooPyjNMCjaYJ9uyxz3w,chinese
JlpVZdT1V-Pd5y3LH0xBPg,chinese
ojeMH0rbOOMx9ajChbVkJQ,mexican
hGksyTiHBBdrhbiVjXzWVw,pizza
7qYeyW9_dxnbaBCFUXGk_A,pizza
aSbrPkclNZXBtA2k69Agsw,american
J9pgjC191T-odCmTAG-grQ,mexican
NL7yHrgnOVNtKNRPon5vGQ,chinese
5YV3zSR18X4Ja6d-TOEtyA,american
A-ert0jDRBfku9ogyW_mEg,indian
Dx2IJGTMo_E5gM2PolHQmg,pizza
eVk4F9ixl89zyUHJ1G2Aiw,italian
2fNVP8VMjETNu7TF7L6A1A,healthy
o7ebhiCJTSsp43ynRDB1qA,italian
kt1WO5imurOh6nhbaQK6cQ,american
OHRcjU4AgVcnPM2sH-Rkgg,american
qaYS8RbtgOFcsxiY4UfdmA,healthy
1Bm2vjvNNqYekXGC0iT2Ow,mexican
VrP6mI9Ihf2qt8dH6XwnYg,pizza
chd7mX9ZTMvEkqc1D83Osw,pizza
RDhaYdyWDJWyBkH0T7URuQ,american
_pXppRVEAW6zi8uRjx1ULg,american
FZpm4_fbd6P984foOUejWg,korean
BeM2EwTCuQDs82mPtcSmrw,mexican
fzBvSgiIosXI_LY2xEFpFA,brunch
Sj2StOWkhHIPE6_sS5RMCQ,chinese
SyvC0s3y0ZrtnLbwnvw7tw,chinese
bLsHB7xtcunm20E4I3_ZAQ,american
